#Position (bp)	insert size	chromosomes
2586908.5	428712.5737649069	0.0
7760724.5	369623.4760203148	455211.27287245565
1.29345405E7	245255.4808128906	0.0
1.81083565E7	293109.8578194436	0.0
2.32821725E7	285999.0286874339	455211.27287245565
2.84559885E7	207143.39006044995	0.0
3.36298045E7	240905.52903631885	0.0
3.88036205E7	189158.750578669	455211.27287245565
4.39774365E7	192978.5662625777	0.0
4.91512525E7	177742.8192058411	0.0
5.43250685E7	218726.7867010224	455211.27287245565
5.94988845E7	170916.6039179596	0.0
6.46727005E7	134874.47955164994	0.0
6.98465165E7	111886.04521150747	455211.27287245565
7.50203325E7	132410.53946166765	0.0
8.01941485E7	160110.83030927952	0.0
8.53679645E7	148078.30110478116	455211.27287245565
9.05417805E7	204126.23519167502	0.0
9.57155965E7	178536.4203147934	0.0
1.008894125E8	207253.1198612337	455211.27287245565
1.060632285E8	280144.8705364617	0.0
1.112370445E8	347436.206348571	0.0
1.164108605E8	130682.51198183387	455211.27287245565
1.215846765E8	140870.0532685275	0.0
1.267584925E8	169227.08871782632	0.0
1.319323085E8	127227.0482214694	455211.27287245565
1.371061245E8	175211.03119996437	0.0
1.422799405E8	119900.06875512487	0.0
1.474537565E8	179641.37379049047	455211.27287245565
1.526275725E8	196759.14430678688	0.0
1.578013885E8	210362.5943821327	0.0
1.629752045E8	234703.30339790383	455211.27287245565
1.681490205E8	111191.78955607228	0.0
1.733228365E8	179462.69182854073	0.0
1.784966525E8	103649.87171645998	455211.27287245565
1.836704685E8	137944.08126959423	0.0
1.888442845E8	87395.01220272336	0.0
1.940181005E8	102909.8445158282	455211.27287245565
1.991919165E8	139294.08276796844	0.0
2.043657325E8	111927.54736067446	0.0
2.095395485E8	207535.63041120392	455211.27287245565
2.147133645E8	169912.89429980915	0.0
2.198871805E8	106039.57154217923	0.0
2.250609965E8	119230.94049506076	455211.27287245565
2.302348125E8	108123.97858246398	0.0
2.354086285E8	134397.54922846297	0.0
2.405824445E8	102334.35629479657	455211.27287245565
2.457562605E8	94777.60042903648	0.0
2.509300765E8	73009.94617604745	0.0
2.561038925E8	56626.77835511264	455211.27287245565
2.612777085E8	41267.29238323279	0.0
2.664515245E8	51180.94635603415	0.0
2.716253405E8	42394.63767163493	455211.27287245565
2.767991565E8	42691.12341873591	0.0
2.819729725E8	54948.72849352999	0.0
2.871467885E8	44978.10947146425	455211.27287245565
2.923206045E8	70723.96415378078	0.0
2.974944205E8	67038.4235865807	0.0
3.026682365E8	39918.097560206385	455211.27287245565
3.078420525E8	35357.3413250608	0.0
3.130158685E8	41307.47409507445	0.0
3.181896845E8	27168.382163233542	455211.27287245565
3.233635005E8	28218.20434005931	0.0
3.285373165E8	21879.415756508806	0.0
3.337111325E8	33888.1775387127	455211.27287245565
3.388849485E8	26637.598515291233	0.0
3.440587645E8	23958.340919267674	0.0
3.492325805E8	25113.36561827225	455211.27287245565
3.544063965E8	19966.991037314354	0.0
3.595802125E8	25735.604617452973	0.0
3.647540285E8	22579.169342687375	455211.27287245565
3.699278445E8	20384.51992393593	0.0
3.751016605E8	16964.218499107803	0.0
3.802754765E8	13025.495793111775	455211.27287245565
3.854492925E8	19433.5522453391	0.0
3.906231085E8	21055.666405782526	0.0
3.957969245E8	10977.311816064053	455211.27287245565
4.009707405E8	18520.310020440145	0.0
4.061445565E8	25460.68320869391	0.0
4.113183725E8	13985.453345003009	455211.27287245565
4.164921885E8	10382.706926892091	0.0
4.216660045E8	12162.249861411456	0.0
4.268398205E8	7251.143271576132	455211.27287245565
4.320136365E8	6037.520037449924	0.0
4.371874525E8	4372.2261744538855	0.0
4.423612685E8	6879.970232758244	455211.27287245565
4.475350845E8	6580.653473463649	0.0
4.527089005E8	7058.8234128237855	0.0
4.578827165E8	5005.473752195122	455211.27287245565
4.630565325E8	5199.961008535377	0.0
4.682303485E8	2438.343811233266	0.0
4.734041645E8	960.0500383015407	455211.27287245565
4.785779805E8	653.8594138179833	0.0
4.823234295E8	343.05414254405747	0.0
4.849103375E8	28483.520589168827	455211.27287245565
4.889256125E8	28151.43060289678	0.0
4.940994285E8	23229.872897546964	0.0
4.992732445E8	26041.29281992863	455211.27287245565
5.044470605E8	19795.469628676045	0.0
5.096208765E8	25271.930768891765	0.0
5.147946925E8	18230.316556937818	455211.27287245565
5.199685085E8	16219.440458190846	0.0
5.251423245E8	11709.612930214163	0.0
5.303161405E8	10053.279045740106	455211.27287245565
5.354899565E8	11524.83532153379	0.0
5.406637725E8	9107.2981600955	0.0
5.458375885E8	8470.184202436725	455211.27287245565
5.510114045E8	8002.27630548926	0.0
5.561852205E8	5857.295895738084	0.0
5.613590365E8	6295.528933813051	455211.27287245565
5.665328525E8	7583.010152430079	0.0
5.717066685E8	4197.247314235038	0.0
5.768804845E8	4701.258560857196	455211.27287245565
5.820543005E8	4348.990950590138	0.0
5.872281165E8	2689.508493951292	0.0
5.924019325E8	1744.015604741964	455211.27287245565
5.975757485E8	1599.4397774305262	0.0
6.027495645E8	1995.5157228055912	0.0
6.079233805E8	1146.6576406235545	455211.27287245565
6.130971965E8	921.8693732691734	0.0
